member_id,gender,age,prefecture_code,join_date,leave_date,member_rank,annual_spend,has_spouse,email_optin,registration_channel
M0000038,2,78,46,2022-01-18,,BRONZE,30491,1,1,APP
M0000039,1,52,47,2015-07-13,,BRONZE,14248,1,0,WEB
M0000040,2,38,08,2019-02-01,,SILVER,442923,0,1,WEB
M0000041,1,33,01,2020-05-06,,BRONZE,55377,1,1,STORE
M0000042,2,24,19,2019-12-19,,GOLD,705191,0,1,PHONE
M0000043,2,75,35,2020-01-15,,PLATINUM,836047,0,1,WEB
M0000044,1,37,23,2025-08-08,,GOLD,241281,0,1,WEB
M0000045,2,76,13,2020-02-04,,GOLD,454059,1,1,STORE
M0000046,2,64,07,2015-07-29,,PLATINUM,662069,1,1,STORE
M0000047,1,10,46,2014-07-22,2015-11-19,SILVER,106910,0,0,WEB
M0000048,1,29,27,2022-10-24,,SILVER,142217,1,1,WEB
M0000049,2,29,11,2016-09-30,,GOLD,567758,0,1,WEB
M0000050,1,39,40,2018-12-11,,SILVER,162568,1,1,STORE
M0000051,1,39,40,2023-01-15,,BRONZE,40685,1,1,STORE
M0000052,1,91,08,2013-10-06,,BRONZE,25503,1,1,APP
M0000053,2,22,40,2013-07-23,2014-07-27,SILVER,273753,0,0,WEB
M0000054,2,44,41,2010-11-06,,GOLD,236963,1,0,APP
M0000055,2,50,20,2011-02-27,,SILVER,199981,1,1,STORE
M0000056,2,40,13,2019-11-09,,BRONZE,44526,1,1,WEB
M0000057,2,42,24,2018-01-21,,SILVER,152432,1,0,PHONE
M0000058,2,22,18,2014-10-06,,GOLD,568537,0,0,APP
M0000059,1,42,23,2013-05-21,,GOLD,405762,1,0,STORE
M0000060,1,49,23,2021-02-16,,SILVER,239906,0,0,WEB
M0000061,2,46,26,2011-05-14,,BRONZE,33326,0,1,WEB
M0000062,2,50,11,2021-03-19,,BRONZE,51480,1,0,STORE
M0000063,2,64,13,2024-06-24,,GOLD,225512,1,1,APP
M0000064,2,56,14,2017-04-15,2024-10-12,BRONZE,122796,0,1,STORE
M0000065,2,41,27,2017-12-01,,GOLD,520630,0,1,WEB
M0000066,2,20,04,2018-08-01,,BRONZE,19022,1,1,STORE
M0000067,2,30,13,2011-07-11,,PLATINUM,639056,0,1,WEB
M0000068,1,36,12,2020-01-10,,BRONZE,91450,0,1,WEB
M0000069,1,44,11,2015-11-05,,SILVER,138392,0,1,APP
M0000070,1,32,29,2017-07-01,,SILVER,101557,1,1,STORE
M0000071,1,24,23,2010-05-15,,GOLD,259073,0,1,APP
M0000072,1,20,39,2024-01-15,2025-12-31,GOLD,331666,0,1,WEB
M0000073,2,12,35,2015-05-03,,BRONZE,40691,0,1,WEB
M0000074,1,36,27,2011-03-20,,BRONZE,64969,1,1,STORE
M0000075,1,15,04,2022-07-07,,BRONZE,34256,0,1,STORE
M0000076,1,23,27,2025-09-05,,SILVER,170680,0,0,STORE
M0000077,1,33,25,2018-04-27,,SILVER,154513,1,1,APP
M0000078,2,17,12,2010-07-15,,BRONZE,21182,0,0,APP
M0000079,2,46,14,2025-11-13,2025-12-31,GOLD,367582,1,0,APP
M0000080,2,53,27,2013-05-01,,BRONZE,68267,0,0,WEB
M0000081,2,31,11,2013-11-05,,BRONZE,71895,0,1,STORE
M0000082,1,33,21,2021-05-02,,BRONZE,28551,0,0,STORE
M0000083,2,49,21,2015-04-24,,SILVER,198635,1,1,STORE
M0000084,1,28,13,2011-05-12,,BRONZE,19591,1,0,WEB
M0000085,1,27,14,2020-12-03,,GOLD,316587,0,1,PHONE
M0000086,1,60,11,2014-03-13,,SILVER,52242,0,1,WEB
M0000087,2,55,28,2023-10-15,,SILVER,128032,0,1,PHONE
M0000088,2,50,13,2012-06-18,2017-01-30,BRONZE,53077,1,0,APP
M0000089,1,56,14,2024-07-01,,GOLD,279747,1,0,STORE
M0000090,2,6,34,2021-07-30,,GOLD,433246,0,1,WEB
M0000091,1,63,11,2013-10-31,,SILVER,166213,1,1,STORE
M0000092,2,47,15,2019-04-07,2024-11-25,BRONZE,84803,1,0,WEB
M0000093,1,57,23,2025-01-05,,BRONZE,101047,1,0,PHONE
M0000094,1,47,11,2011-01-12,,BRONZE,116088,0,1,WEB
M0000095,1,41,01,2023-02-13,,BRONZE,64845,1,0,WEB
M0000096,2,35,27,2017-05-13,,SILVER,93702,1,1,STORE
M0000097,1,46,27,2025-03-09,,BRONZE,41586,1,1,WEB
M0000098,1,35,46,2013-05-03,,GOLD,512447,0,1,STORE
M0000099,1,55,32,2021-07-06,,SILVER,95309,0,0,APP
M0000100,9,13,10,2025-06-26,,SILVER,142740,0,1,WEB
M0000101,2,31,13,2015-07-03,,PLATINUM,817000,1,0,WEB
M0000102,2,75,13,2011-09-23,,BRONZE,42436,1,1,STORE
M0000103,1,29,13,2016-04-10,,BRONZE,20943,0,1,STORE
M0000104,9,36,41,2019-07-28,,SILVER,284038,0,1,STORE
M0000105,2,25,24,2020-01-31,,SILVER,128055,0,0,WEB
M0000106,2,46,23,2017-09-16,2024-06-08,GOLD,499452,1,1,STORE
M0000107,1,27,44,2024-12-03,,GOLD,388991,1,1,WEB
M0000108,1,37,13,2019-04-02,,SILVER,175432,0,1,WEB
M0000109,1,54,28,2020-04-02,,PLATINUM,695773,1,1,STORE
M0000110,2,28,27,2025-04-21,,BRONZE,31006,1,1,WEB
M0000111,2,53,14,2025-01-11,,BRONZE,48171,1,1,STORE
M0000112,1,54,41,2015-06-18,,BRONZE,41487,1,1,WEB
M0000113,1,58,32,2014-07-31,2018-10-19,SILVER,177471,1,1,APP
M0000114,2,42,13,2021-12-24,,BRONZE,53326,1,1,WEB
M0000115,1,95,27,2018-05-28,,BRONZE,13369,1,1,WEB
M0000116,2,58,01,2017-02-27,,PLATINUM,1637682,1,1,APP
M0000117,2,46,13,2021-03-05,2023-05-14,BRONZE,22331,1,1,PHONE
M0000118,2,25,28,2020-07-28,,BRONZE,86051,0,1,PHONE
M0000119,1,38,28,2024-08-15,,BRONZE,27902,1,1,STORE
M0000120,2,64,14,2015-11-07,2022-06-25,BRONZE,26474,1,0,WEB
M0000121,2,69,14,2022-01-24,,BRONZE,45423,1,0,APP
M0000122,2,65,27,2013-08-20,,BRONZE,22146,1,1,APP
M0000123,1,53,39,2024-12-28,,BRONZE,108468,0,1,PHONE
M0000124,1,19,40,2011-05-04,,GOLD,367463,0,1,STORE
M0000125,1,48,28,2022-01-02,,BRONZE,20744,1,1,STORE
M0000126,2,19,14,2011-08-18,,SILVER,73260,0,1,WEB
M0000127,1,15,06,2024-01-31,,SILVER,253050,0,0,WEB
M0000128,1,44,13,2025-05-08,,GOLD,335233,0,1,APP
M0000129,1,49,13,2023-02-02,,GOLD,332928,1,0,PHONE
M0000130,2,55,15,2022-08-13,,SILVER,182516,1,1,STORE
M0000131,1,48,09,2017-08-26,,BRONZE,50053,1,1,WEB
M0000132,2,49,27,2013-12-02,,BRONZE,29607,1,1,WEB
M0000133,2,23,14,2025-10-09,,BRONZE,44621,1,1,WEB
M0000134,1,38,43,2018-06-20,,GOLD,891890,1,1,PHONE
M0000135,2,14,13,2023-01-24,2025-09-23,SILVER,128448,0,0,WEB
M0000136,1,6,27,2021-06-05,,BRONZE,24708,0,1,WEB
M0000137,9,53,11,2021-03-21,,BRONZE,49179,1,0,STORE
M0000138,2,27,14,2015-08-23,,GOLD,641022,0,0,STORE
M0000139,2,55,12,2016-10-30,,SILVER,241003,1,0,APP
M0000140,1,59,05,2017-01-15,,BRONZE,117557,1,0,WEB
M0000141,2,29,23,2019-08-22,,GOLD,359483,0,1,APP
M0000142,2,50,01,2021-06-30,,SILVER,91681,1,0,STORE
M0000143,2,29,11,2013-03-07,2018-10-06,SILVER,316804,0,1,WEB
M0000144,2,9,17,2013-08-22,,SILVER,236737,0,1,WEB
M0000145,2,42,13,2010-10-10,,SILVER,214559,1,1,STORE
M0000146,1,32,14,2018-06-03,,BRONZE,30902,0,0,STORE
M0000147,1,33,04,2020-09-13,,PLATINUM,990912,0,0,STORE
M0000148,2,74,14,2013-05-12,,GOLD,210243,1,1,WEB
M0000149,1,14,13,2021-05-22,,SILVER,176399,0,1,WEB
M0000150,1,47,14,2010-01-18,,SILVER,169911,1,1,WEB
M0000151,2,23,07,2023-11-12,,PLATINUM,840826,0,0,APP
M0000152,2,55,13,2021-01-16,,BRONZE,30722,1,1,STORE
M0000153,1,45,09,2020-12-07,,BRONZE,40081,0,1,WEB
M0000154,2,46,18,2021-04-26,,GOLD,227879,1,1,STORE
M0000155,1,24,12,2015-09-27,2018-07-08,BRONZE,112246,0,0,PHONE
M0000156,2,27,27,2025-12-07,,SILVER,307958,1,0,WEB
M0000157,1,56,22,2021-12-11,,SILVER,132535,0,1,WEB
M0000158,2,70,27,2012-11-23,,BRONZE,39912,0,1,WEB
M0000159,2,48,36,2024-10-04,,BRONZE,118625,0,0,WEB
M0000160,2,25,07,2021-11-01,,GOLD,349176,0,1,WEB
M0000161,1,46,13,2014-12-22,,BRONZE,44176,0,1,PHONE
M0000162,2,81,21,2025-03-02,2025-12-31,BRONZE,80487,1,0,APP
M0000163,1,42,23,2013-12-22,,BRONZE,66500,1,1,APP
M0000164,1,65,11,2020-04-24,,BRONZE,62659,0,0,PHONE
M0000165,2,27,11,2020-09-21,,SILVER,196786,0,1,WEB
M0000166,1,39,01,2025-05-30,2025-12-31,PLATINUM,756150,0,1,APP
M0000167,2,51,09,2019-02-14,,SILVER,202745,1,0,PHONE
M0000168,2,47,35,2025-11-29,,SILVER,196169,0,0,STORE
M0000169,1,27,27,2014-07-20,,BRONZE,18302,1,0,PHONE
M0000170,9,26,12,2022-10-29,2025-12-31,PLATINUM,735638,0,0,APP
M0000171,1,57,04,2013-12-05,,GOLD,469810,1,1,WEB
M0000172,2,60,03,2025-12-27,2025-12-31,GOLD,471819,0,1,WEB
M0000173,1,66,23,2022-03-22,,BRONZE,14022,1,0,APP
M0000174,2,71,40,2020-01-06,,BRONZE,89895,1,0,STORE
M0000175,1,42,17,2011-01-23,,BRONZE,104843,1,0,WEB
M0000176,1,35,14,2017-12-14,,BRONZE,272337,0,1,WEB
M0000177,1,63,27,2012-04-21,,BRONZE,15019,1,1,WEB
M0000178,9,52,28,2024-09-06,,GOLD,477505,1,1,WEB
M0000179,2,23,27,2016-01-25,2020-05-29,BRONZE,56201,0,1,STORE
M0000180,2,22,13,2023-04-19,,BRONZE,19535,0,1,WEB
M0000181,2,48,13,2024-07-01,,GOLD,514367,1,0,WEB
M0000182,2,37,05,2011-10-06,,PLATINUM,702117,0,1,PHONE
M0000183,2,40,44,2022-02-24,,BRONZE,29773,0,1,STORE
M0000184,1,58,11,2014-11-05,2021-02-10,BRONZE,35179,1,1,PHONE
M0000185,2,53,13,2011-09-28,2015-03-23,GOLD,297051,1,1,WEB
M0000186,2,63,24,2014-03-04,,PLATINUM,578210,1,1,WEB
M0000187,1,7,27,2018-10-19,,SILVER,238938,0,0,APP
M0000188,1,44,47,2023-09-08,,BRONZE,65344,1,1,PHONE
M0000189,2,52,28,2021-01-25,,SILVER,597300,0,0,APP
M0000190,1,14,27,2013-09-25,,GOLD,575750,0,0,PHONE
M0000191,2,29,23,2014-09-26,,BRONZE,31412,1,1,WEB
M0000192,1,26,14,2014-11-12,2023-10-31,BRONZE,51192,0,1,WEB
M0000193,1,40,19,2021-10-11,,GOLD,415837,1,1,APP
M0000194,2,68,13,2018-04-20,,SILVER,160916,0,1,STORE
M0000195,1,74,31,2010-05-20,,BRONZE,76091,1,1,WEB
M0000196,1,26,17,2011-03-21,,GOLD,506328,1,0,WEB
M0000197,2,49,31,2011-03-18,,SILVER,253027,1,1,APP
M0000198,2,49,35,2025-05-19,,BRONZE,110124,1,1,WEB
M0000199,1,47,27,2018-01-28,,BRONZE,81194,1,1,STORE
M0000200,1,47,23,2017-11-09,,BRONZE,68603,0,0,WEB
M0000201,2,45,30,2022-03-06,,PLATINUM,508013,1,1,WEB
M0000202,9,69,40,2013-01-17,,BRONZE,38489,1,0,WEB
M0000203,2,59,13,2010-07-04,,GOLD,346113,1,1,WEB
M0000204,1,22,14,2014-05-02,,SILVER,107121,1,1,APP
M0000205,1,54,27,2013-05-03,,GOLD,509711,1,1,WEB
M0000206,1,55,32,2022-10-09,,PLATINUM,1059850,1,1,APP
M0000207,1,45,11,2023-02-04,2025-12-31,PLATINUM,1161255,1,1,STORE
M0000208,2,59,04,2020-02-23,,GOLD,1032808,1,1,WEB
M0000209,1,43,43,2024-07-23,2025-12-31,BRONZE,33575,1,1,STORE
M0000210,2,43,14,2017-06-08,,BRONZE,72918,1,1,STORE
M0000211,2,42,17,2013-11-05,,BRONZE,23960,0,1,WEB
M0000212,2,6,13,2015-04-22,,SILVER,234535,0,1,WEB
M0000213,1,39,13,2012-04-07,,BRONZE,54348,1,0,STORE
M0000214,2,29,13,2024-05-30,2025-12-31,BRONZE,23548,0,1,WEB
M0000215,2,20,14,2019-09-01,,BRONZE,38861,0,1,APP
M0000216,2,64,40,2022-05-12,,GOLD,257494,1,0,WEB
M0000217,1,49,11,2014-07-04,,BRONZE,23913,0,1,WEB
M0000218,1,39,27,2021-06-28,2025-12-31,BRONZE,37774,0,1,WEB
M0000219,2,30,13,2015-04-16,,SILVER,154404,1,1,WEB
M0000220,1,45,03,2017-02-19,,SILVER,963798,1,0,WEB
M0000221,1,57,13,2020-06-06,,GOLD,288014,0,0,WEB
M0000222,2,26,22,2025-09-12,,SILVER,86743,0,1,WEB
M0000223,2,40,39,2018-12-07,,GOLD,318440,1,1,STORE
M0000224,9,55,07,2021-05-12,,BRONZE,31151,1,1,WEB
M0000225,1,7,01,2019-07-08,,BRONZE,20041,0,1,PHONE
M0000226,2,39,12,2016-10-11,,SILVER,585250,1,0,STORE
M0000227,1,33,12,2024-12-02,,BRONZE,47034,0,1,APP
M0000228,2,38,39,2025-05-15,,GOLD,393856,1,1,STORE
M0000229,2,31,44,2014-12-20,,PLATINUM,985848,0,1,WEB
M0000230,1,42,11,2024-05-01,,BRONZE,9165,1,0,STORE
M0000231,1,73,01,2017-03-21,,GOLD,310495,0,1,STORE
M0000232,1,34,21,2021-11-03,2025-04-15,BRONZE,14158,0,1,STORE
M0000233,9,45,13,2018-04-10,2024-07-15,BRONZE,87761,1,1,PHONE
M0000234,2,74,23,2022-04-10,,BRONZE,47122,0,1,WEB
M0000235,2,31,12,2023-12-12,,SILVER,328300,0,1,WEB
M0000236,2,71,08,2016-10-11,,PLATINUM,776527,1,0,APP
M0000237,2,40,40,2021-03-19,,BRONZE,30134,1,1,WEB
M0000238,2,70,14,2018-02-12,2025-12-31,SILVER,96997,1,1,APP
M0000239,1,53,27,2022-10-14,,BRONZE,98865,1,1,APP
M0000240,1,45,28,2013-01-24,,BRONZE,31964,1,1,APP
M0000241,2,39,37,2021-08-31,,SILVER,637811,0,0,WEB
M0000242,2,29,35,2019-07-12,,GOLD,296778,1,1,WEB
M0000243,1,41,14,2017-03-23,,SILVER,125727,0,1,STORE
M0000244,2,55,27,2015-12-02,2018-11-05,PLATINUM,1052121,0,1,WEB
M0000245,2,40,20,2021-03-24,,BRONZE,33323,1,1,APP
M0000246,2,35,09,2015-07-24,,SILVER,170913,1,1,STORE
M0000247,2,36,23,2010-07-12,,BRONZE,28895,1,0,STORE
M0000248,1,57,40,2025-03-04,2025-12-31,GOLD,441149,0,0,WEB
M0000249,1,61,13,2017-03-02,,BRONZE,161441,1,1,STORE
M0000250,1,29,19,2012-08-20,,BRONZE,58944,0,1,WEB
M0000251,2,29,01,2013-08-11,,GOLD,840254,0,1,STORE
M0000252,2,46,40,2023-04-13,,BRONZE,57341,1,0,WEB
M0000253,2,66,37,2015-04-22,,SILVER,88899,1,1,STORE
M0000254,1,59,12,2014-07-03,,PLATINUM,1027877,1,0,APP
M0000255,1,19,39,2017-10-18,,SILVER,148703,0,0,WEB
M0000256,2,36,11,2010-06-17,,SILVER,194799,0,1,WEB
M0000257,2,24,11,2018-12-19,,PLATINUM,1301407,0,1,APP
M0000258,1,35,39,2010-08-25,,SILVER,302879,1,1,APP
M0000259,1,67,43,2023-05-16,,BRONZE,58908,1,0,WEB
M0000260,2,16,43,2016-11-13,,GOLD,296677,0,1,WEB
M0000261,1,12,24,2013-06-29,,SILVER,473807,0,0,APP
M0000262,2,26,11,2017-04-09,,GOLD,432972,0,0,STORE
M0000263,1,45,27,2012-10-23,,SILVER,154754,1,0,WEB
M0000264,1,51,40,2015-02-15,,BRONZE,13669,1,1,WEB
M0000265,2,47,41,2012-02-03,,GOLD,516164,1,1,APP
M0000266,1,60,40,2020-09-13,,BRONZE,32990,1,0,WEB
M0000267,1,10,16,2025-08-14,2025-12-31,GOLD,408152,0,1,STORE
M0000268,1,60,38,2017-10-07,,GOLD,779411,0,0,APP
M0000269,1,35,44,2011-07-31,2018-02-24,PLATINUM,864778,1,1,STORE
M0000270,1,52,42,2011-03-10,,BRONZE,68753,1,1,WEB
M0000271,1,18,28,2023-04-26,,BRONZE,39885,0,1,WEB
M0000272,1,40,23,2015-07-28,,BRONZE,234116,1,1,APP
M0000273,1,44,46,2014-09-27,,BRONZE,34377,1,1,APP
M0000274,2,60,27,2011-08-19,2014-10-16,BRONZE,96762,1,0,PHONE
M0000275,2,13,27,2020-08-14,,SILVER,35351,0,1,APP
M0000276,1,41,43,2011-01-03,,BRONZE,87902,1,1,STORE
M0000277,1,22,05,2024-06-19,,PLATINUM,577000,0,0,APP
M0000278,2,49,23,2013-05-02,,BRONZE,55257,1,0,WEB
M0000279,2,53,13,2011-02-08,,BRONZE,62747,0,0,APP
M0000280,2,62,23,2021-03-18,2025-12-31,SILVER,235109,1,1,STORE
M0000281,1,31,41,2015-09-01,,BRONZE,40808,1,1,STORE
M0000282,1,56,01,2021-02-19,,SILVER,151891,0,1,WEB
M0000283,1,63,40,2010-08-21,,SILVER,422008,1,0,STORE
M0000284,1,12,28,2023-10-13,,SILVER,137600,0,0,WEB
M0000285,2,50,34,2014-12-16,,SILVER,136834,1,1,WEB
M0000286,1,56,37,2022-02-07,,GOLD,495350,1,1,STORE
M0000287,1,36,40,2024-12-21,,PLATINUM,724593,0,0,APP
M0000288,1,19,01,2018-07-27,,BRONZE,10051,0,1,APP
M0000289,2,56,27,2015-05-07,,SILVER,120522,0,1,WEB
M0000290,1,20,11,2015-01-01,,GOLD,359618,0,1,APP
M0000291,2,37,27,2020-12-25,,BRONZE,63845,0,1,STORE
M0000292,1,39,23,2010-02-03,2015-05-16,SILVER,273079,1,1,WEB
M0000293,2,52,28,2012-05-08,,SILVER,174286,0,1,PHONE
M0000294,1,29,14,2020-05-09,,BRONZE,67486,0,0,WEB
M0000295,2,28,27,2010-05-31,,BRONZE,75337,1,1,APP
M0000296,2,42,13,2014-08-21,2019-09-08,GOLD,302667,1,1,WEB
M0000297,9,57,13,2020-05-13,2025-12-31,BRONZE,52258,0,1,APP
M0000298,2,79,07,2014-01-01,,BRONZE,69036,0,0,APP
M0000299,2,14,27,2024-11-22,2025-12-31,GOLD,423502,0,1,STORE
M0000300,2,45,13,2025-08-06,2025-12-31,GOLD,321000,0,1,WEB
M0000301,2,22,47,2010-07-16,,SILVER,333295,1,0,WEB
M0000302,1,57,27,2012-10-15,2019-04-10,BRONZE,27271,1,1,WEB
M0000303,2,24,35,2024-07-09,,BRONZE,111804,1,1,APP
M0000304,2,29,01,2010-07-09,,GOLD,317046,0,1,STORE
M0000305,2,30,08,2017-10-15,2025-12-31,BRONZE,25040,1,1,WEB
M0000306,2,39,28,2025-03-11,,GOLD,486142,1,1,WEB
M0000307,1,45,27,2019-06-02,2021-08-25,GOLD,833687,1,1,WEB
M0000308,2,48,29,2014-11-24,2018-04-30,BRONZE,46365,1,0,APP
M0000309,1,40,25,2010-02-07,,SILVER,180012,1,1,WEB
M0000310,1,17,14,2016-04-18,,GOLD,421220,0,1,APP
M0000311,2,52,17,2018-09-02,,GOLD,443295,1,1,APP
M0000312,1,39,28,2011-04-18,,SILVER,405705,1,0,WEB
M0000313,1,60,36,2018-06-15,,BRONZE,80530,1,0,WEB
M0000314,1,28,21,2016-06-19,,SILVER,100308,0,0,STORE
M0000315,1,13,13,2015-03-20,,SILVER,58694,0,1,PHONE
M0000316,1,39,33,2025-07-22,,SILVER,302751,1,1,WEB
M0000317,1,62,44,2024-04-19,,BRONZE,29637,1,0,WEB
M0000318,2,43,15,2021-02-07,,GOLD,303874,0,1,STORE
M0000319,1,37,13,2019-06-16,,SILVER,158555,0,0,WEB
M0000320,2,25,22,2017-08-01,,BRONZE,84464,0,1,WEB
M0000321,2,70,12,2011-02-16,2019-02-28,BRONZE,33433,0,1,STORE
M0000322,2,22,14,2014-12-02,,BRONZE,43448,0,0,WEB
M0000323,1,28,34,2010-03-02,,SILVER,175308,0,0,STORE
M0000324,2,50,28,2015-11-10,2023-11-12,BRONZE,44046,1,1,APP
M0000325,2,8,30,2017-07-30,,SILVER,84398,0,1,PHONE
M0000326,2,62,03,2019-10-13,,BRONZE,28381,0,1,STORE
M0000327,2,51,14,2015-09-06,,BRONZE,241719,1,1,WEB
M0000328,2,55,45,2014-01-27,,BRONZE,27777,1,1,WEB
M0000329,2,49,28,2021-05-12,,BRONZE,10092,1,0,WEB
M0000330,1,37,23,2012-06-06,,BRONZE,28488,0,1,STORE
M0000331,2,22,40,2012-01-03,,BRONZE,43851,0,1,WEB
M0000332,1,38,13,2021-02-20,,SILVER,116229,1,1,WEB
M0000333,2,23,04,2019-05-17,,SILVER,219864,0,0,WEB
M0000334,2,48,11,2023-11-30,,SILVER,198124,1,1,WEB
M0000335,1,54,39,2021-10-28,,BRONZE,38406,1,1,APP
M0000336,2,65,44,2024-06-04,,BRONZE,86705,1,1,PHONE
M0000337,1,46,18,2020-08-18,2025-12-31,BRONZE,99440,1,1,APP
M0000338,2,56,27,2023-06-19,,SILVER,117709,1,1,WEB
M0000339,1,35,08,2012-09-15,,SILVER,296958,1,1,STORE
M0000340,2,32,13,2018-06-28,,GOLD,827238,1,1,STORE
M0000341,1,48,25,2025-02-10,2025-12-31,SILVER,359881,1,0,APP
M0000342,9,33,23,2022-08-15,,BRONZE,40011,0,1,APP
M0000343,2,45,39,2016-06-13,,BRONZE,15401,1,1,WEB
M0000344,2,22,40,2024-10-27,,PLATINUM,953882,0,1,STORE
M0000345,2,25,27,2015-01-01,,BRONZE,20365,0,0,WEB
M0000346,2,51,47,2010-05-17,2017-01-30,BRONZE,48886,0,1,WEB
M0000347,2,55,23,2022-09-30,,BRONZE,16724,0,1,PHONE
M0000348,1,23,31,2016-08-05,,PLATINUM,1110538,0,0,APP
M0000349,2,51,37,2010-07-20,2014-04-27,GOLD,439930,0,1,WEB
M0000350,1,31,23,2013-04-07,,BRONZE,38651,1,0,APP
M0000351,2,40,11,2011-02-25,,BRONZE,135224,1,1,WEB
M0000352,1,64,28,2025-12-13,2025-12-31,GOLD,340579,1,1,WEB
M0000353,2,54,29,2023-07-25,,BRONZE,63561,1,1,APP
M0000354,2,54,44,2024-11-15,,BRONZE,51624,1,1,APP
M0000355,2,72,14,2012-11-29,,SILVER,160996,1,1,WEB
M0000356,2,28,10,2022-11-01,,BRONZE,24131,0,1,APP
M0000357,2,23,14,2019-01-08,,BRONZE,45427,0,1,WEB
M0000358,2,28,01,2014-09-26,,SILVER,330272,0,0,STORE
M0000359,2,36,22,2020-09-13,,SILVER,121197,0,0,PHONE
M0000360,2,0,34,2025-03-27,,SILVER,186839,0,1,APP
M0000361,2,36,11,2017-05-15,,BRONZE,41723,1,1,STORE
M0000362,1,31,40,2010-06-20,,BRONZE,59090,1,0,WEB
M0000363,1,53,27,2023-06-25,,GOLD,561895,0,1,APP
M0000364,1,46,13,2013-01-03,,BRONZE,83179,1,1,PHONE
M0000365,2,30,40,2012-12-02,,BRONZE,93757,0,0,WEB
M0000366,1,50,32,2019-11-15,,BRONZE,54721,1,1,WEB
M0000367,2,52,40,2022-10-13,2025-12-31,BRONZE,71548,1,1,WEB
M0000368,2,27,14,2022-09-09,,SILVER,216847,0,0,STORE
M0000369,1,32,10,2023-11-21,,BRONZE,34940,0,1,WEB
M0000370,2,2,27,2024-02-20,,SILVER,94242,0,0,STORE
M0000371,2,21,27,2012-01-20,,BRONZE,88383,0,0,WEB
M0000372,1,27,39,2014-10-23,2019-06-06,GOLD,376165,0,1,PHONE
M0000373,1,41,13,2021-07-10,,SILVER,558272,1,0,WEB
M0000374,1,24,40,2016-04-02,,BRONZE,21497,0,1,APP
M0000375,1,31,28,2021-06-16,,GOLD,332968,0,0,PHONE
M0000376,1,19,27,2017-04-12,,PLATINUM,806416,0,1,STORE
M0000377,2,43,14,2017-03-23,,BRONZE,43241,1,1,WEB
M0000378,1,47,27,2010-06-07,,SILVER,224686,1,0,APP
M0000379,1,47,14,2019-09-26,,SILVER,148845,1,0,STORE
M0000380,2,40,35,2023-10-29,,SILVER,201972,0,0,STORE
