transaction_id,member_id,transaction_date,store_code,product_category,quantity,amount,payment_method
T0000000274,M0000084,2011-09-28,S039,BOOKS,6,9437,POINT
T0000000275,M0000184,2011-09-28,S045,DAILY,2,5246,EMONEY
T0000000276,M0000248,2011-09-28,S001,APPAREL,3,34130,EMONEY
T0000000277,M0000079,2011-09-29,S021,FOOD,5,26272,EMONEY
T0000000278,M0000175,2011-09-30,S005,APPAREL,1,2676,DEBIT
T0000000279,M0000249,2011-10-02,S004,APPAREL,2,17946,DEBIT
T0000000280,M0000084,2011-10-03,S029,FOOD,1,3256,CREDIT
T0000000281,M0000136,2011-10-03,S019,APPAREL,2,14636,POINT
T0000000282,M0000071,2011-10-06,S004,DAILY,5,5924,DEBIT
T0000000283,M0000278,2011-10-07,S001,DAILY,2,3609,EMONEY
T0000000284,M0000029,2011-10-08,S041,ELECTRONICS,1,32714,EMONEY
T0000000285,M0000084,2011-10-08,S026,BOOKS,2,3030,CREDIT
T0000000286,M0000128,2011-10-08,S042,DAILY,2,3255,CREDIT
T0000000287,M0000042,2011-10-10,S038,APPAREL,1,2583,CREDIT
T0000000288,M0000128,2011-10-14,S021,HOME,2,33457,EMONEY
T0000000289,M0000136,2011-10-14,S043,BOOKS,3,5886,CASH
T0000000290,M0000175,2011-10-14,S020,BOOKS,2,1290,CREDIT
T0000000291,M0000136,2011-10-15,S005,HOME,4,37038,EMONEY
T0000000292,M0000079,2011-10-17,S041,FOOD,6,26514,EMONEY
T0000000293,M0000128,2011-10-17,S008,BOOKS,2,2994,DEBIT
T0000000294,M0000249,2011-10-19,S005,FOOD,2,6100,CASH
T0000000295,M0000128,2011-10-20,S034,BOOKS,3,13774,EMONEY
T0000000296,M0000248,2011-10-22,S043,FOOD,4,9359,CASH
T0000000297,M0000025,2011-10-24,S001,DAILY,4,2073,EMONEY
T0000000298,M0000084,2011-10-24,S031,APPAREL,3,12198,EMONEY
T0000000299,M0000048,2011-10-26,S047,FOOD,5,2643,CASH
T0000000300,M0000084,2011-10-28,S031,APPAREL,3,13649,DEBIT
T0000000301,M0000136,2011-10-28,S026,APPAREL,1,6703,EMONEY
T0000000302,M0000029,2011-10-30,S009,DAILY,1,6002,CREDIT
T0000000303,M0000079,2011-10-31,S029,APPAREL,2,74432,CREDIT
T0000000304,M0000048,2011-11-03,S043,APPAREL,1,29946,EMONEY
T0000000305,M0000025,2011-11-05,S009,DAILY,4,531,EMONEY
T0000000306,M0000048,2011-11-05,S041,FOOD,4,16549,CASH
T0000000307,M0000128,2011-11-05,S025,ELECTRONICS,1,32888,CREDIT
T0000000308,M0000249,2011-11-05,S013,APPAREL,3,4476,DEBIT
T0000000309,M0000184,2011-11-11,S028,DAILY,2,5975,CASH
T0000000310,M0000128,2011-11-13,S036,DAILY,1,10763,CREDIT
T0000000311,M0000290,2011-11-13,S012,FOOD,5,11857,DEBIT
T0000000312,M0000048,2011-11-14,S042,FOOD,6,7067,CREDIT
T0000000313,M0000223,2011-11-14,S024,HOME,1,198568,CREDIT
T0000000314,M0000223,2011-11-15,S033,FOOD,5,30637,DEBIT
T0000000315,M0000260,2011-11-15,S049,FOOD,5,5011,CREDIT
T0000000316,M0000042,2011-11-16,S039,HOME,2,1399,CREDIT
T0000000317,M0000084,2011-11-16,S014,BOOKS,5,3514,CASH
T0000000318,M0000025,2011-11-19,S042,APPAREL,1,13494,EMONEY
T0000000319,M0000048,2011-11-19,S010,DAILY,6,2882,CREDIT
T0000000320,M0000261,2011-11-20,S021,HOME,1,487888,CREDIT
T0000000321,M0000048,2011-11-21,S023,BOOKS,2,836,DEBIT
T0000000322,M0000084,2011-11-21,S015,HOME,1,9981,CREDIT
T0000000323,M0000223,2011-11-22,S037,HOME,4,298760,DEBIT
T0000000324,M0000048,2011-11-23,S015,FOOD,7,14420,CASH
T0000000325,M0000048,2011-11-23,S037,APPAREL,2,42481,DEBIT
T0000000326,M0000223,2011-11-23,S031,HOME,1,93042,CREDIT
T0000000327,M0000269,2011-11-23,S009,DAILY,1,4731,EMONEY
T0000000328,M0000079,2011-11-25,S006,FOOD,6,4926,CREDIT
T0000000329,M0000136,2011-11-26,S005,BOOKS,2,8669,CASH
T0000000330,M0000249,2011-11-26,S025,FOOD,5,3390,DEBIT
T0000000331,M0000136,2011-12-01,S034,FOOD,4,14469,EMONEY
T0000000332,M0000136,2011-12-03,S039,FOOD,3,4821,CREDIT
T0000000333,M0000136,2011-12-04,S045,FOOD,3,5601,CREDIT
T0000000334,M0000184,2011-12-04,S004,FOOD,4,3385,CASH
T0000000335,M0000290,2011-12-04,S011,HOME,2,44178,CREDIT
T0000000336,M0000022,2011-12-05,S023,DAILY,2,595,CREDIT
T0000000337,M0000029,2011-12-05,S046,DAILY,1,2687,CREDIT
T0000000338,M0000029,2011-12-07,S047,FOOD,4,6069,CASH
T0000000339,M0000248,2011-12-07,S043,APPAREL,3,50784,CREDIT
T0000000340,M0000084,2011-12-09,S011,FOOD,4,18814,DEBIT
T0000000341,M0000184,2011-12-09,S008,APPAREL,4,6711,CREDIT
T0000000342,M0000249,2011-12-10,S008,FOOD,4,8850,DEBIT
T0000000343,M0000249,2011-12-11,S012,FOOD,3,1554,EMONEY
T0000000344,M0000249,2011-12-11,S049,DAILY,1,1304,CREDIT
T0000000345,M0000128,2011-12-13,S018,FOOD,2,9757,POINT
T0000000346,M0000184,2011-12-13,S035,FOOD,4,9859,CREDIT
T0000000347,M0000136,2011-12-14,S002,BOOKS,3,6125,EMONEY
T0000000348,M0000136,2011-12-14,S024,HOME,2,34622,CREDIT
T0000000349,M0000184,2011-12-14,S016,HOME,5,14224,CASH
T0000000350,M0000248,2011-12-14,S024,FOOD,2,41034,CREDIT
T0000000351,M0000079,2011-12-19,S035,APPAREL,5,14570,EMONEY
T0000000352,M0000217,2011-12-19,S016,APPAREL,3,25721,CREDIT
T0000000353,M0000249,2011-12-20,S024,DAILY,2,10145,DEBIT
T0000000354,M0000048,2011-12-21,S007,APPAREL,2,9399,CREDIT
T0000000355,M0000217,2011-12-21,S042,DAILY,1,5667,DEBIT
T0000000356,M0000269,2011-12-21,S025,BOOKS,6,5213,DEBIT
T0000000357,M0000248,2011-12-22,S047,FOOD,2,57956,CREDIT
T0000000358,M0000175,2011-12-23,S019,FOOD,3,5624,CREDIT
T0000000359,M0000184,2011-12-23,S027,HOME,2,22269,CREDIT
T0000000360,M0000184,2011-12-23,S008,FOOD,5,8341,DEBIT
T0000000361,M0000260,2011-12-24,S015,FOOD,2,9321,CASH
T0000000362,M0000249,2011-12-26,S008,APPAREL,2,8814,CREDIT
T0000000363,M0000269,2011-12-27,S041,HOME,1,3043,EMONEY
T0000000364,M0000084,2011-12-28,S014,HOME,2,14712,EMONEY
T0000000365,M0000048,2011-12-29,S024,DAILY,3,1962,DEBIT
T0000000366,M0000249,2012-01-01,S001,ELECTRONICS,1,41221,CASH
T0000000367,M0000084,2012-01-02,S023,BOOKS,2,8082,CASH
T0000000368,M0000249,2012-01-02,S016,DAILY,3,3739,POINT
T0000000369,M0000290,2012-01-02,S008,DAILY,5,1082,CASH
T0000000370,M0000084,2012-01-03,S039,HOME,3,26285,DEBIT
T0000000371,M0000175,2012-01-05,S047,DAILY,3,3463,DEBIT
T0000000372,M0000223,2012-01-06,S043,APPAREL,2,26449,EMONEY
T0000000373,M0000128,2012-01-07,S009,FOOD,3,5248,CREDIT
T0000000374,M0000084,2012-01-08,S041,APPAREL,2,3522,DEBIT
T0000000375,M0000261,2012-01-08,S035,FOOD,3,10688,CREDIT
T0000000376,M0000249,2012-01-09,S029,HOME,1,25196,EMONEY
