student_id,enrollment_year,department,grade,gender,status,gpa
S20200010,2020,SCIENCE,4,2,ENROLLED,3.6
S20230017,2023,LITERATURE,3,1,ENROLLED,2.76
S20200011,2020,ENGINEERING,4,1,GRADUATED,2.41
S20180010,2018,ECONOMICS,4,1,GRADUATED,2.56
S20180011,2018,ECONOMICS,4,2,ENROLLED,2.79
S20250006,2025,ENGINEERING,1,1,ENROLLED,3.16
S20250007,2025,ENGINEERING,1,1,ENROLLED,2.96
S20230018,2023,LITERATURE,3,2,ENROLLED,2.98
S20200012,2020,ECONOMICS,4,9,GRADUATED,3.29
S20250008,2025,ECONOMICS,1,2,ENROLLED,3.28
S20240018,2024,ENGINEERING,2,1,ENROLLED,3.65
S20230019,2023,ECONOMICS,3,1,ENROLLED,3.98
S20210017,2021,ENGINEERING,4,1,LEAVE,2.95
S20200013,2020,LITERATURE,4,1,GRADUATED,3.23
S20180012,2018,MEDICAL,6,2,GRADUATED,3.7
S20250009,2025,ENGINEERING,1,2,ENROLLED,2.57
S20210018,2021,ENGINEERING,4,1,GRADUATED,2.83
S20190016,2019,LITERATURE,4,2,GRADUATED,2.23
S20200014,2020,SCIENCE,4,2,GRADUATED,3.16
S20220008,2022,MEDICAL,4,1,ENROLLED,3.51
S20190017,2019,MEDICAL,6,9,GRADUATED,3.27
S20240019,2024,ENGINEERING,2,2,ENROLLED,2.28
S20240020,2024,ENGINEERING,2,2,ENROLLED,3.15
S20230020,2023,ECONOMICS,3,2,ENROLLED,2.8
S20210019,2021,ENGINEERING,4,1,GRADUATED,3.24
S20230021,2023,ECONOMICS,3,1,ENROLLED,3.51
S20220009,2022,SCIENCE,4,2,ENROLLED,3.38
S20230022,2023,ENGINEERING,3,2,ENROLLED,3.38
S20180013,2018,ECONOMICS,4,1,GRADUATED,3.62
S20210020,2021,ENGINEERING,4,1,GRADUATED,2.64
S20180014,2018,LITERATURE,4,1,GRADUATED,2.32
S20210021,2021,SCIENCE,4,2,GRADUATED,2.96
S20200015,2020,SCIENCE,4,2,GRADUATED,3.46
S20190018,2019,ECONOMICS,4,2,LEAVE,3.42
S20180015,2018,SCIENCE,4,2,GRADUATED,3.37
S20220010,2022,MEDICAL,4,1,ENROLLED,3.8
S20190019,2019,MEDICAL,6,2,GRADUATED,3.6
S20250010,2025,SCIENCE,1,2,ENROLLED,3.59
S20220011,2022,ENGINEERING,4,1,ENROLLED,2.82
S20200016,2020,ECONOMICS,4,2,GRADUATED,2.67
S20220012,2022,MEDICAL,4,2,ENROLLED,3.87
S20180016,2018,LITERATURE,4,1,GRADUATED,1.98
S20250011,2025,LITERATURE,1,1,ENROLLED,3.28
S20210022,2021,LITERATURE,4,1,GRADUATED,2.98
S20240021,2024,ENGINEERING,2,1,ENROLLED,2.66
S20180017,2018,SCIENCE,4,1,GRADUATED,3.52
S20210023,2021,LITERATURE,4,1,GRADUATED,3.1
S20210024,2021,ECONOMICS,4,2,ENROLLED,3.73
S20250012,2025,ECONOMICS,1,1,ENROLLED,3.65
S20220013,2022,ECONOMICS,4,2,ENROLLED,3.37
S20210025,2021,LITERATURE,4,9,WITHDRAWN,2.14
S20200017,2020,LITERATURE,4,1,GRADUATED,3.74
S20200018,2020,ECONOMICS,4,2,WITHDRAWN,3.19
S20220014,2022,ECONOMICS,4,1,ENROLLED,3.2
S20210026,2021,LITERATURE,4,1,ENROLLED,2.55
S20180018,2018,ECONOMICS,4,2,GRADUATED,3.06
S20240022,2024,ENGINEERING,2,2,WITHDRAWN,3.06
S20250013,2025,ECONOMICS,1,1,ENROLLED,3.39
S20190020,2019,ENGINEERING,4,2,GRADUATED,3.14
S20220015,2022,ENGINEERING,4,1,ENROLLED,2.92
S20180019,2018,SCIENCE,4,2,GRADUATED,3.46
S20230023,2023,ENGINEERING,3,2,ENROLLED,3.49
S20200019,2020,ENGINEERING,4,2,GRADUATED,2.64
S20230024,2023,ENGINEERING,3,1,ENROLLED,3.44
S20230025,2023,LITERATURE,3,2,ENROLLED,2.93
S20240023,2024,ECONOMICS,2,1,ENROLLED,3.11
S20180020,2018,ENGINEERING,4,2,GRADUATED,3.22
S20250014,2025,SCIENCE,1,2,ENROLLED,3.16
S20190021,2019,ECONOMICS,4,2,GRADUATED,2.72
S20180021,2018,ENGINEERING,4,2,GRADUATED,2.94
S20220016,2022,ENGINEERING,4,2,ENROLLED,2.79
S20200020,2020,ECONOMICS,4,2,GRADUATED,2.63
S20240024,2024,ECONOMICS,2,1,ENROLLED,2.76
S20240025,2024,SCIENCE,2,2,LEAVE,3.31
S20200021,2020,ECONOMICS,4,1,GRADUATED,3.2
S20250015,2025,ENGINEERING,1,9,ENROLLED,2.77
S20200022,2020,LITERATURE,4,1,GRADUATED,3.28
S20220017,2022,ECONOMICS,4,1,ENROLLED,3.09
S20200023,2020,ENGINEERING,4,1,GRADUATED,2.54
S20250016,2025,ECONOMICS,1,2,ENROLLED,3.2
S20190022,2019,SCIENCE,4,1,GRADUATED,3.68
S20180022,2018,ECONOMICS,4,1,GRADUATED,3.33
S20210027,2021,LITERATURE,4,2,ENROLLED,2.36
S20250017,2025,LITERATURE,1,1,ENROLLED,2.58
S20250018,2025,ENGINEERING,1,1,ENROLLED,3.1
S20230026,2023,ENGINEERING,3,2,ENROLLED,2.57
S20250019,2025,ECONOMICS,1,2,WITHDRAWN,2.82
S20250020,2025,ENGINEERING,1,1,ENROLLED,3.84
S20220018,2022,ENGINEERING,4,1,ENROLLED,3.39
S20200024,2020,ENGINEERING,4,9,WITHDRAWN,2.61
S20240026,2024,ENGINEERING,2,1,ENROLLED,3.21
S20230027,2023,ECONOMICS,3,9,ENROLLED,3.76
S20200025,2020,LITERATURE,4,2,ENROLLED,2.94
S20180023,2018,MEDICAL,6,1,WITHDRAWN,3.84
S20230028,2023,ENGINEERING,3,1,ENROLLED,3.08
S20200026,2020,SCIENCE,4,1,ENROLLED,2.91
S20250021,2025,LITERATURE,1,1,ENROLLED,3.12
S20190023,2019,LITERATURE,4,1,GRADUATED,3.0
S20180024,2018,ECONOMICS,4,1,GRADUATED,2.98
S20240027,2024,MEDICAL,2,2,ENROLLED,3.17
S20190024,2019,ECONOMICS,4,2,GRADUATED,2.9
S20190025,2019,ENGINEERING,4,2,GRADUATED,2.69
S20220019,2022,ENGINEERING,4,1,ENROLLED,3.33
S20240028,2024,SCIENCE,2,2,ENROLLED,2.92
S20190026,2019,ENGINEERING,4,1,GRADUATED,3.14
S20200027,2020,ECONOMICS,4,2,GRADUATED,3.32
S20240029,2024,SCIENCE,2,2,ENROLLED,3.28
S20250022,2025,SCIENCE,1,1,ENROLLED,3.39
S20220020,2022,ECONOMICS,4,2,ENROLLED,2.27
S20190027,2019,ECONOMICS,4,1,ENROLLED,2.74
S20180025,2018,ENGINEERING,4,2,GRADUATED,3.06
S20190028,2019,ENGINEERING,4,1,ENROLLED,2.93
S20190029,2019,SCIENCE,4,1,GRADUATED,2.83
S20230029,2023,LITERATURE,3,2,ENROLLED,3.65
S20180026,2018,ENGINEERING,4,1,GRADUATED,3.17
S20220021,2022,LITERATURE,4,2,ENROLLED,3.45
S20230030,2023,ECONOMICS,3,1,ENROLLED,3.54
S20220022,2022,ECONOMICS,4,1,ENROLLED,2.32
S20190030,2019,SCIENCE,4,1,GRADUATED,3.17
S20240030,2024,LITERATURE,2,1,ENROLLED,3.03
S20230031,2023,ENGINEERING,3,1,ENROLLED,3.06
S20230032,2023,SCIENCE,3,2,ENROLLED,3.16
S20190031,2019,LITERATURE,4,2,GRADUATED,2.36
S20180027,2018,SCIENCE,4,1,GRADUATED,2.2
S20250023,2025,SCIENCE,1,2,ENROLLED,3.1
S20210028,2021,ENGINEERING,4,2,GRADUATED,2.98
S20200028,2020,ENGINEERING,4,1,ENROLLED,2.63
S20210029,2021,ENGINEERING,4,2,GRADUATED,3.8
S20230033,2023,ECONOMICS,3,2,ENROLLED,3.6
S20250024,2025,SCIENCE,1,1,ENROLLED,3.13
S20200029,2020,ENGINEERING,4,1,GRADUATED,2.42
S20250025,2025,ECONOMICS,1,2,ENROLLED,3.78
S20180028,2018,LITERATURE,4,1,GRADUATED,3.38
S20220023,2022,LITERATURE,4,1,ENROLLED,2.1
S20230034,2023,MEDICAL,3,2,ENROLLED,3.17
S20180029,2018,ENGINEERING,4,1,GRADUATED,3.16
S20190032,2019,ENGINEERING,4,2,GRADUATED,2.79
S20210030,2021,SCIENCE,4,1,GRADUATED,3.13
S20250026,2025,ENGINEERING,1,2,ENROLLED,3.83
S20220024,2022,SCIENCE,4,1,ENROLLED,3.84
S20250027,2025,ENGINEERING,1,2,ENROLLED,2.5
S20240031,2024,ENGINEERING,2,1,ENROLLED,2.58
S20210031,2021,ENGINEERING,4,2,GRADUATED,2.47
S20240032,2024,LITERATURE,2,1,ENROLLED,3.65
S20180030,2018,ENGINEERING,4,2,GRADUATED,3.11
S20180031,2018,ENGINEERING,4,1,GRADUATED,2.26
S20240033,2024,ECONOMICS,2,1,WITHDRAWN,2.93
S20240034,2024,LITERATURE,2,2,ENROLLED,2.95
S20190033,2019,LITERATURE,4,1,GRADUATED,1.52
S20220025,2022,ENGINEERING,4,1,ENROLLED,2.71
S20220026,2022,LITERATURE,4,2,LEAVE,2.68
S20240035,2024,ENGINEERING,2,2,ENROLLED,1.87
S20220027,2022,SCIENCE,4,2,ENROLLED,2.65
S20210032,2021,ENGINEERING,4,1,GRADUATED,3.07
S20200030,2020,ECONOMICS,4,1,GRADUATED,3.23
S20210033,2021,MEDICAL,5,2,ENROLLED,3.37
S20230035,2023,ENGINEERING,3,2,ENROLLED,2.7
S20240036,2024,ENGINEERING,2,2,ENROLLED,2.21
S20210034,2021,ENGINEERING,4,1,GRADUATED,3.49
S20190034,2019,SCIENCE,4,1,GRADUATED,2.83
S20190035,2019,ENGINEERING,4,1,GRADUATED,2.3
S20230036,2023,ECONOMICS,3,2,LEAVE,3.6
S20240037,2024,ECONOMICS,2,1,ENROLLED,2.89
S20180032,2018,ECONOMICS,4,1,GRADUATED,3.49
S20180033,2018,SCIENCE,4,2,GRADUATED,2.02
S20220028,2022,MEDICAL,4,1,ENROLLED,3.28
S20190036,2019,ENGINEERING,4,1,GRADUATED,3.35
S20240038,2024,LITERATURE,2,1,ENROLLED,3.18
S20200031,2020,LITERATURE,4,2,GRADUATED,2.73
S20190037,2019,MEDICAL,6,2,ENROLLED,3.83
S20250028,2025,SCIENCE,1,2,ENROLLED,2.98
S20190038,2019,ECONOMICS,4,2,GRADUATED,2.8
S20200032,2020,ENGINEERING,4,1,ENROLLED,2.6
S20190039,2019,MEDICAL,6,2,GRADUATED,3.71
S20180034,2018,LITERATURE,4,2,GRADUATED,3.21
S20180035,2018,LITERATURE,4,1,GRADUATED,2.42
S20180036,2018,MEDICAL,6,2,GRADUATED,3.93
S20190040,2019,LITERATURE,4,1,WITHDRAWN,2.2
S20180037,2018,LITERATURE,4,1,GRADUATED,2.81
S20220029,2022,SCIENCE,4,1,ENROLLED,3.02
S20230037,2023,ENGINEERING,3,1,ENROLLED,3.75
S20210035,2021,LITERATURE,4,2,GRADUATED,2.87
S20200033,2020,ENGINEERING,4,2,GRADUATED,3.32
S20220030,2022,ENGINEERING,4,1,ENROLLED,2.45
S20250029,2025,ECONOMICS,1,1,ENROLLED,2.89
S20240039,2024,SCIENCE,2,2,ENROLLED,2.97
S20180038,2018,LITERATURE,4,1,GRADUATED,2.68
S20190041,2019,LITERATURE,4,2,GRADUATED,3.46
S20190042,2019,LITERATURE,4,1,ENROLLED,2.42
S20190043,2019,SCIENCE,4,1,GRADUATED,3.7
S20220031,2022,MEDICAL,4,1,ENROLLED,3.72
S20210036,2021,MEDICAL,5,1,ENROLLED,3.66
S20180039,2018,LITERATURE,4,2,WITHDRAWN,3.01
S20200034,2020,LITERATURE,4,1,GRADUATED,2.88
S20220032,2022,LITERATURE,4,2,ENROLLED,2.07
S20180040,2018,SCIENCE,4,1,GRADUATED,3.59
S20240040,2024,LITERATURE,2,9,ENROLLED,2.19
S20180041,2018,SCIENCE,4,1,GRADUATED,3.24
S20250030,2025,SCIENCE,1,1,ENROLLED,3.03
S20180042,2018,LITERATURE,4,1,WITHDRAWN,2.86
S20240041,2024,LITERATURE,2,2,LEAVE,3.84
S20250031,2025,LITERATURE,1,1,ENROLLED,3.14
S20250032,2025,ENGINEERING,1,2,ENROLLED,2.49
S20240042,2024,ENGINEERING,2,1,ENROLLED,3.25
S20240043,2024,ECONOMICS,2,1,ENROLLED,2.74
S20230038,2023,LITERATURE,3,1,ENROLLED,1.99
S20240044,2024,ENGINEERING,2,1,ENROLLED,2.82
S20190044,2019,SCIENCE,4,2,GRADUATED,3.66
S20220033,2022,ECONOMICS,4,1,ENROLLED,3.25
S20220034,2022,ENGINEERING,4,1,ENROLLED,2.87
S20240045,2024,ECONOMICS,2,1,ENROLLED,3.62
S20210037,2021,MEDICAL,5,2,ENROLLED,3.96
S20210038,2021,SCIENCE,4,2,GRADUATED,3.19
S20230039,2023,SCIENCE,3,2,ENROLLED,2.83
S20200035,2020,ENGINEERING,4,2,GRADUATED,3.59
S20190045,2019,MEDICAL,6,1,GRADUATED,3.74
S20210039,2021,LITERATURE,4,2,GRADUATED,1.29
S20210040,2021,MEDICAL,5,2,LEAVE,3.62
S20190046,2019,SCIENCE,4,2,GRADUATED,2.43
S20200036,2020,ENGINEERING,4,1,GRADUATED,2.58
S20200037,2020,ENGINEERING,4,1,GRADUATED,3.0
S20200038,2020,ECONOMICS,4,2,GRADUATED,3.02
S20210041,2021,SCIENCE,4,2,ENROLLED,3.0
S20230040,2023,ENGINEERING,3,2,ENROLLED,3.43
S20200039,2020,ECONOMICS,4,2,GRADUATED,2.53
S20250033,2025,ECONOMICS,1,2,ENROLLED,2.61
S20250034,2025,LITERATURE,1,2,ENROLLED,3.22
S20210042,2021,LITERATURE,4,2,ENROLLED,2.8
S20200040,2020,ENGINEERING,4,2,ENROLLED,3.35
S20220035,2022,ECONOMICS,4,1,ENROLLED,3.28
S20240046,2024,LITERATURE,2,1,ENROLLED,3.42
S20230041,2023,ECONOMICS,3,2,ENROLLED,3.93
S20240047,2024,LITERATURE,2,1,ENROLLED,2.41
S20220036,2022,SCIENCE,4,1,ENROLLED,3.54
S20230042,2023,ENGINEERING,3,1,ENROLLED,2.87
S20200041,2020,ENGINEERING,4,2,GRADUATED,2.81
S20230043,2023,ECONOMICS,3,1,ENROLLED,3.28
S20190047,2019,LITERATURE,4,1,GRADUATED,3.03
S20230044,2023,SCIENCE,3,1,ENROLLED,2.84
S20240048,2024,MEDICAL,2,9,ENROLLED,3.71
S20190048,2019,MEDICAL,6,1,GRADUATED,3.63
S20220037,2022,ECONOMICS,4,2,ENROLLED,2.93
S20180043,2018,ENGINEERING,4,1,GRADUATED,2.08
S20230045,2023,SCIENCE,3,1,ENROLLED,3.23
S20180044,2018,ECONOMICS,4,1,GRADUATED,3.44
S20250035,2025,LITERATURE,1,2,ENROLLED,3.27
S20190049,2019,ENGINEERING,4,1,GRADUATED,2.42
S20250036,2025,ECONOMICS,1,2,ENROLLED,2.99
S20240049,2024,LITERATURE,2,1,ENROLLED,2.63
S20220038,2022,SCIENCE,4,2,ENROLLED,2.86
S20240050,2024,MEDICAL,2,1,ENROLLED,3.51
S20240051,2024,SCIENCE,2,9,ENROLLED,2.67
S20250037,2025,LITERATURE,1,1,ENROLLED,2.64
S20200042,2020,LITERATURE,4,1,GRADUATED,2.86
S20220039,2022,LITERATURE,4,1,ENROLLED,3.12
S20180045,2018,ENGINEERING,4,1,GRADUATED,3.11
S20220040,2022,ECONOMICS,4,1,ENROLLED,2.93
S20190050,2019,ECONOMICS,4,1,ENROLLED,2.67
S20220041,2022,ENGINEERING,4,1,ENROLLED,2.88
S20220042,2022,LITERATURE,4,1,ENROLLED,2.84
S20210043,2021,ECONOMICS,4,1,GRADUATED,3.73
S20220043,2022,ENGINEERING,4,1,ENROLLED,2.99
S20240052,2024,SCIENCE,2,1,ENROLLED,3.45
S20240053,2024,LITERATURE,2,1,ENROLLED,3.34
S20210044,2021,ECONOMICS,4,1,GRADUATED,1.96
S20220044,2022,ENGINEERING,4,2,ENROLLED,3.47
S20250038,2025,SCIENCE,1,2,ENROLLED,2.41
S20180046,2018,LITERATURE,4,2,ENROLLED,2.62
S20180047,2018,SCIENCE,4,2,GRADUATED,3.45
S20180048,2018,ENGINEERING,4,1,GRADUATED,2.36
S20230046,2023,LITERATURE,3,2,ENROLLED,2.19
S20210045,2021,SCIENCE,4,2,WITHDRAWN,3.57
S20240054,2024,ENGINEERING,2,2,ENROLLED,2.83
S20230047,2023,ENGINEERING,3,2,ENROLLED,3.04
S20200043,2020,ENGINEERING,4,2,GRADUATED,2.6
S20250039,2025,LITERATURE,1,1,ENROLLED,3.84
S20240055,2024,ENGINEERING,2,2,ENROLLED,3.67
S20200044,2020,MEDICAL,6,2,ENROLLED,3.35
S20200045,2020,LITERATURE,4,2,GRADUATED,2.55
S20200046,2020,ECONOMICS,4,1,GRADUATED,3.46
S20190051,2019,MEDICAL,6,1,ENROLLED,3.81
S20190052,2019,ENGINEERING,4,2,GRADUATED,3.4
S20250040,2025,SCIENCE,1,2,ENROLLED,3.4
S20210046,2021,ECONOMICS,4,2,GRADUATED,2.89
S20210047,2021,SCIENCE,4,2,GRADUATED,3.1
S20230048,2023,LITERATURE,3,2,ENROLLED,2.57
S20220045,2022,LITERATURE,4,1,ENROLLED,2.82
S20250041,2025,ENGINEERING,1,9,ENROLLED,3.1
S20240056,2024,SCIENCE,2,2,ENROLLED,3.45
S20210048,2021,MEDICAL,5,2,ENROLLED,3.97
S20210049,2021,MEDICAL,5,2,ENROLLED,3.58
S20250042,2025,ENGINEERING,1,1,ENROLLED,3.85
S20230049,2023,ECONOMICS,3,2,ENROLLED,2.92
S20250043,2025,LITERATURE,1,1,ENROLLED,2.88
S20180049,2018,MEDICAL,6,2,GRADUATED,3.99
S20240057,2024,ENGINEERING,2,1,ENROLLED,2.2
S20230050,2023,MEDICAL,3,1,ENROLLED,3.01
S20180050,2018,ECONOMICS,4,1,GRADUATED,3.86
S20220046,2022,ENGINEERING,4,2,ENROLLED,2.95
S20230051,2023,ENGINEERING,3,2,ENROLLED,3.13
S20180051,2018,ECONOMICS,4,2,GRADUATED,2.78
S20210050,2021,ENGINEERING,4,1,WITHDRAWN,2.49
S20240058,2024,SCIENCE,2,2,ENROLLED,3.28
S20200047,2020,MEDICAL,6,2,ENROLLED,3.58
S20210051,2021,SCIENCE,4,1,GRADUATED,2.85
S20210052,2021,LITERATURE,4,1,GRADUATED,2.66
S20200048,2020,LITERATURE,4,1,GRADUATED,2.84
S20250044,2025,ENGINEERING,1,2,ENROLLED,3.1
S20240059,2024,MEDICAL,2,2,ENROLLED,3.59
S20180052,2018,LITERATURE,4,2,GRADUATED,2.83
S20250045,2025,ENGINEERING,1,1,ENROLLED,2.4
S20250046,2025,ENGINEERING,1,2,LEAVE,3.3
S20200049,2020,MEDICAL,6,1,ENROLLED,3.38
S20240060,2024,ENGINEERING,2,1,ENROLLED,3.48
S20180053,2018,ECONOMICS,4,2,GRADUATED,2.79
S20250047,2025,ECONOMICS,1,2,ENROLLED,3.04
S20230052,2023,ECONOMICS,3,2,ENROLLED,3.29
S20230053,2023,MEDICAL,3,2,ENROLLED,3.19
S20180054,2018,ECONOMICS,4,2,GRADUATED,2.9
S20250048,2025,MEDICAL,1,2,ENROLLED,3.58
S20180055,2018,ENGINEERING,4,1,GRADUATED,3.09
S20190053,2019,ECONOMICS,4,2,GRADUATED,2.39
S20190054,2019,SCIENCE,4,2,GRADUATED,2.3
S20240061,2024,SCIENCE,2,1,ENROLLED,3.04
S20190055,2019,ECONOMICS,4,2,GRADUATED,2.71
S20250049,2025,MEDICAL,1,2,ENROLLED,3.48
S20230054,2023,ECONOMICS,3,2,ENROLLED,3.68
S20180056,2018,LITERATURE,4,9,GRADUATED,2.94
S20180057,2018,LITERATURE,4,1,ENROLLED,1.67
S20180058,2018,LITERATURE,4,2,GRADUATED,3.79
S20220047,2022,LITERATURE,4,1,ENROLLED,2.78
S20240062,2024,LITERATURE,2,2,ENROLLED,3.14
S20190056,2019,ENGINEERING,4,1,ENROLLED,2.02
S20240063,2024,ENGINEERING,2,1,ENROLLED,2.47
S20180059,2018,ECONOMICS,4,1,ENROLLED,3.13
S20240064,2024,LITERATURE,2,2,ENROLLED,2.16
S20250050,2025,MEDICAL,1,2,ENROLLED,3.61
S20240065,2024,SCIENCE,2,2,ENROLLED,3.55
S20230055,2023,ENGINEERING,3,1,ENROLLED,3.23
S20240066,2024,ENGINEERING,2,1,ENROLLED,2.96
S20180060,2018,ENGINEERING,4,1,GRADUATED,1.6
S20190057,2019,MEDICAL,6,1,ENROLLED,3.0
S20180061,2018,ENGINEERING,4,1,GRADUATED,3.57
S20220048,2022,SCIENCE,4,1,ENROLLED,2.11
S20230056,2023,MEDICAL,3,1,ENROLLED,3.37
S20230057,2023,MEDICAL,3,1,ENROLLED,3.89
S20240067,2024,ENGINEERING,2,1,ENROLLED,3.02
S20190058,2019,ENGINEERING,4,1,GRADUATED,2.54
S20230058,2023,ENGINEERING,3,1,ENROLLED,3.45
S20190059,2019,ENGINEERING,4,1,GRADUATED,2.61
S20200050,2020,ENGINEERING,4,1,GRADUATED,2.61
S20230059,2023,SCIENCE,3,1,ENROLLED,3.77
S20250051,2025,MEDICAL,1,1,ENROLLED,3.41
S20220049,2022,SCIENCE,4,1,WITHDRAWN,3.86
S20180062,2018,SCIENCE,4,1,GRADUATED,3.21
S20220050,2022,ENGINEERING,4,1,ENROLLED,3.13
S20180063,2018,ECONOMICS,4,1,GRADUATED,3.3
S20250052,2025,SCIENCE,1,1,ENROLLED,3.45
S20230060,2023,ECONOMICS,3,1,ENROLLED,2.98
S20190060,2019,MEDICAL,6,9,GRADUATED,3.35
S20180064,2018,LITERATURE,4,1,GRADUATED,2.61
S20190061,2019,ENGINEERING,4,1,GRADUATED,3.84
