enrollment_id,student_id,course_code,academic_year,final_grade,attendance_rate
E0000000059,S20180002,C0069,2021,C,77.9
E0000000060,S20180002,C0077,2021,B,90.3
E0000000061,S20180002,C0084,2021,A,82.2
E0000000062,S20180002,C0123,2021,C,60.8
E0000000063,S20180002,C0157,2021,F,33.1
E0000000064,S20180002,C0170,2021,A,95.9
E0000000065,S20180002,C0179,2021,B,81.6
E0000000066,S20180002,C0192,2021,B,95.7
E0000000067,S20180003,C0003,2018,B,65.7
E0000000068,S20180003,C0009,2018,B,95.0
E0000000069,S20180003,C0011,2018,D,47.2
E0000000070,S20180003,C0027,2018,C,89.4
E0000000071,S20180003,C0060,2018,B,77.6
E0000000072,S20180003,C0073,2018,C,77.4
E0000000073,S20180003,C0128,2018,C,70.2
E0000000074,S20180003,C0132,2018,C,63.9
E0000000075,S20180003,C0001,2019,D,56.0
E0000000076,S20180003,C0009,2019,C,71.1
E0000000077,S20180003,C0093,2019,S,94.9
E0000000078,S20180003,C0108,2019,C,69.8
E0000000079,S20180003,C0120,2019,B,72.0
E0000000080,S20180003,C0130,2019,S,98.3
E0000000081,S20180003,C0155,2019,B,76.4
E0000000082,S20180003,C0156,2019,W,18.8
E0000000083,S20180003,C0157,2019,D,57.7
E0000000084,S20180003,C0166,2019,A,98.6
E0000000085,S20180003,C0168,2019,C,64.9
E0000000086,S20180003,C0172,2019,C,68.2
E0000000087,S20180003,C0174,2019,A,91.3
E0000000088,S20180003,C0180,2019,F,44.2
E0000000089,S20180003,C0182,2019,B,80.9
E0000000090,S20180003,C0002,2020,F,1.3
E0000000091,S20180003,C0006,2020,A,90.8
E0000000092,S20180003,C0050,2020,D,65.7
E0000000093,S20180003,C0079,2020,C,66.3
E0000000094,S20180003,C0115,2020,C,64.0
E0000000095,S20180003,C0139,2020,S,92.9
E0000000096,S20180003,C0193,2020,C,74.2
E0000000097,S20180003,C0194,2020,A,83.8
E0000000098,S20180003,C0196,2020,B,95.9
E0000000099,S20180003,C0197,2020,D,66.6
E0000000100,S20180003,C0001,2021,B,77.3
E0000000101,S20180003,C0020,2021,B,66.7
E0000000102,S20180003,C0047,2021,B,66.3
E0000000103,S20180003,C0049,2021,S,95.2
E0000000104,S20180003,C0110,2021,C,70.4
E0000000105,S20180003,C0122,2021,C,69.0
E0000000106,S20180003,C0124,2021,A,97.9
E0000000107,S20180003,C0181,2021,C,56.7
E0000000108,S20180004,C0084,2018,B,86.0
E0000000109,S20180004,C0120,2018,D,59.0
E0000000110,S20180004,C0148,2018,B,85.0
E0000000111,S20180004,C0150,2018,D,74.4
E0000000112,S20180004,C0155,2018,B,83.6
E0000000113,S20180004,C0184,2018,C,79.8
E0000000114,S20180004,C0197,2018,D,74.1
E0000000115,S20180004,C0026,2019,C,55.8
E0000000116,S20180004,C0031,2019,S,97.7
E0000000117,S20180004,C0049,2019,C,72.5
E0000000118,S20180004,C0053,2019,F,43.0
E0000000119,S20180004,C0071,2019,B,71.2
E0000000120,S20180004,C0095,2019,D,61.3
E0000000121,S20180004,C0097,2019,D,53.6
E0000000122,S20180004,C0120,2019,D,46.0
E0000000123,S20180004,C0121,2019,F,49.0
E0000000124,S20180004,C0127,2019,B,71.5
E0000000125,S20180004,C0145,2019,C,60.8
E0000000126,S20180004,C0154,2019,C,67.4
E0000000127,S20180004,C0162,2019,A,97.2
E0000000128,S20180004,C0179,2019,F,27.6
E0000000129,S20180004,C0188,2019,A,85.9
E0000000130,S20180004,C0197,2019,C,79.5
E0000000131,S20180004,C0016,2020,B,84.2
E0000000132,S20180004,C0025,2020,D,53.6
E0000000133,S20180004,C0039,2020,F,35.9
E0000000134,S20180004,C0047,2020,A,98.4
E0000000135,S20180004,C0118,2020,F,40.8
E0000000136,S20180004,C0127,2020,D,69.2
E0000000137,S20180004,C0167,2020,A,80.0
E0000000138,S20180004,C0189,2020,C,63.3
E0000000139,S20180004,C0197,2020,B,86.9
E0000000140,S20180004,C0198,2020,D,75.5
E0000000141,S20180004,C0009,2021,C,71.1
E0000000142,S20180004,C0013,2021,B,88.1
E0000000143,S20180004,C0017,2021,B,62.9
E0000000144,S20180004,C0049,2021,C,70.5
E0000000145,S20180004,C0068,2021,C,78.1
E0000000146,S20180004,C0198,2021,C,50.3
E0000000147,S20180005,C0038,2018,D,57.6
E0000000148,S20180005,C0046,2018,S,99.5
E0000000149,S20180005,C0065,2018,A,91.8
E0000000150,S20180005,C0108,2018,S,95.3
E0000000151,S20180005,C0126,2018,B,88.1
E0000000152,S20180005,C0135,2018,A,89.6
E0000000153,S20180005,C0147,2018,B,87.0
E0000000154,S20180005,C0148,2018,S,93.2
E0000000155,S20180005,C0151,2018,D,50.6
E0000000156,S20180005,C0169,2018,D,64.4
E0000000157,S20180005,C0170,2018,B,98.7
E0000000158,S20180005,C0177,2018,A,85.4
E0000000159,S20180005,C0188,2018,C,58.3
E0000000160,S20180005,C0019,2019,B,76.0
E0000000161,S20180005,C0065,2019,A,91.0
E0000000162,S20180005,C0078,2019,B,86.5
E0000000163,S20180005,C0173,2019,A,99.7
E0000000164,S20180005,C0190,2019,D,60.4
E0000000165,S20180005,C0002,2020,B,83.5
E0000000166,S20180005,C0003,2020,B,61.6
E0000000167,S20180005,C0036,2020,F,37.6
E0000000168,S20180005,C0051,2020,S,99.9
E0000000169,S20180005,C0065,2020,D,68.5
E0000000170,S20180005,C0069,2020,B,66.7
E0000000171,S20180005,C0084,2020,A,99.5
E0000000172,S20180005,C0086,2020,C,83.5
E0000000173,S20180005,C0112,2020,C,50.1
E0000000174,S20180005,C0123,2020,B,75.5
E0000000175,S20180005,C0130,2020,C,64.3
E0000000176,S20180005,C0154,2020,F,43.3
E0000000177,S20180005,C0157,2020,B,69.1
E0000000178,S20180005,C0161,2020,A,85.4
E0000000179,S20180005,C0163,2020,C,76.5
E0000000180,S20180005,C0173,2020,B,81.7
E0000000181,S20180005,C0181,2020,B,66.4
E0000000182,S20180005,C0190,2020,D,59.0
E0000000183,S20180005,C0194,2020,S,95.9
E0000000184,S20180005,C0013,2021,C,78.3
E0000000185,S20180005,C0015,2021,D,79.1
E0000000186,S20180005,C0026,2021,B,86.4
E0000000187,S20180005,C0037,2021,A,86.6
E0000000188,S20180005,C0112,2021,S,91.8
E0000000189,S20180005,C0130,2021,C,77.6
E0000000190,S20180005,C0157,2021,C,56.3
E0000000191,S20180005,C0181,2021,D,52.1
E0000000192,S20180005,C0187,2021,D,62.0
E0000000193,S20180005,C0190,2021,D,69.1
E0000000194,S20180005,C0191,2021,C,76.5
E0000000195,S20180005,C0196,2021,B,67.4
E0000000196,S20180006,C0052,2018,C,59.4
E0000000197,S20180006,C0072,2018,B,86.8
E0000000198,S20180006,C0130,2018,B,67.8
E0000000199,S20180006,C0143,2018,C,77.6
E0000000200,S20180006,C0168,2018,B,76.5
E0000000201,S20180006,C0174,2018,B,83.0
E0000000202,S20180006,C0179,2018,S,90.4
E0000000203,S20180006,C0024,2019,B,91.0
E0000000204,S20180006,C0027,2019,D,79.2
E0000000205,S20180006,C0038,2019,B,81.0
E0000000206,S20180006,C0064,2019,B,69.8
E0000000207,S20180006,C0091,2019,C,74.6
E0000000208,S20180006,C0108,2019,C,67.3
E0000000209,S20180006,C0123,2019,A,83.2
E0000000210,S20180006,C0130,2019,B,84.7
E0000000211,S20180006,C0005,2020,W,28.7
E0000000212,S20180006,C0112,2020,D,51.3
E0000000213,S20180006,C0162,2020,D,51.9
E0000000214,S20180006,C0168,2020,S,96.8
E0000000215,S20180006,C0179,2020,C,89.7
E0000000216,S20180006,C0186,2020,W,13.2
E0000000217,S20180006,C0198,2020,S,99.4
E0000000218,S20180006,C0013,2021,D,50.3
E0000000219,S20180006,C0016,2021,S,92.2
E0000000220,S20180006,C0033,2021,C,64.3
E0000000221,S20180006,C0076,2021,A,97.4
E0000000222,S20180006,C0078,2021,C,58.4
E0000000223,S20180006,C0082,2021,A,85.5
E0000000224,S20180006,C0112,2021,B,76.8
E0000000225,S20180006,C0115,2021,B,77.3
E0000000226,S20180006,C0131,2021,S,93.5
E0000000227,S20180006,C0149,2021,W,11.7
E0000000228,S20180006,C0155,2021,D,76.0
E0000000229,S20180006,C0162,2021,B,91.0
E0000000230,S20180006,C0164,2021,C,82.1
E0000000231,S20180006,C0176,2021,C,77.3
E0000000232,S20180006,C0179,2021,C,89.8
E0000000233,S20180006,C0183,2021,C,78.9
E0000000234,S20180006,C0189,2021,C,71.0
E0000000235,S20180007,C0005,2018,B,64.0
E0000000236,S20180007,C0006,2018,B,79.6
E0000000237,S20180007,C0021,2018,S,91.3
E0000000238,S20180007,C0023,2018,A,81.3
E0000000239,S20180007,C0048,2018,W,15.3
E0000000240,S20180007,C0060,2018,B,81.7
E0000000241,S20180007,C0073,2018,A,91.7
E0000000242,S20180007,C0079,2018,D,78.5
E0000000243,S20180007,C0095,2018,C,86.0
E0000000244,S20180007,C0100,2018,S,93.6
E0000000245,S20180007,C0115,2018,A,95.6
E0000000246,S20180007,C0144,2018,C,62.8
E0000000247,S20180007,C0168,2018,B,85.6
E0000000248,S20180007,C0052,2019,D,72.6
E0000000249,S20180007,C0073,2019,C,68.3
E0000000250,S20180007,C0084,2019,C,62.2
E0000000251,S20180007,C0101,2019,C,68.0
E0000000252,S20180007,C0105,2019,C,72.2
E0000000253,S20180007,C0119,2019,C,86.1
E0000000254,S20180007,C0123,2019,C,76.5
E0000000255,S20180007,C0130,2019,S,92.3
E0000000256,S20180007,C0155,2019,D,58.6
E0000000257,S20180007,C0194,2019,D,56.0
E0000000258,S20180007,C0031,2020,A,86.1
E0000000259,S20180007,C0043,2020,A,88.9
E0000000260,S20180007,C0078,2020,C,76.2
E0000000261,S20180007,C0079,2020,C,77.3
E0000000262,S20180007,C0087,2020,C,79.3
E0000000263,S20180007,C0093,2020,B,67.1
E0000000264,S20180007,C0098,2020,F,37.9
E0000000265,S20180007,C0101,2020,C,73.6
E0000000266,S20180007,C0118,2020,D,69.5
E0000000267,S20180007,C0166,2020,S,93.3
E0000000268,S20180007,C0171,2020,A,82.1
E0000000269,S20180007,C0197,2020,B,96.2
E0000000270,S20180007,C0016,2021,C,75.9
E0000000271,S20180007,C0051,2021,W,14.4
E0000000272,S20180007,C0054,2021,C,77.6
E0000000273,S20180007,C0070,2021,C,51.5
E0000000274,S20180007,C0085,2021,C,87.5
E0000000275,S20180007,C0124,2021,B,65.8
E0000000276,S20180007,C0129,2021,A,92.5
E0000000277,S20180007,C0148,2021,B,96.2
E0000000278,S20180007,C0172,2021,C,59.0
E0000000279,S20180007,C0174,2021,D,71.4
E0000000280,S20180007,C0192,2021,D,56.6
E0000000281,S20180008,C0021,2018,C,77.8
E0000000282,S20180008,C0056,2018,S,91.5
E0000000283,S20180008,C0062,2018,B,69.3
E0000000284,S20180008,C0097,2018,A,86.2
E0000000285,S20180008,C0114,2018,A,90.9
E0000000286,S20180008,C0128,2018,S,95.6
E0000000287,S20180008,C0150,2018,S,98.3
E0000000288,S20180008,C0191,2018,F,43.2
E0000000289,S20180008,C0197,2018,D,70.8
E0000000290,S20180008,C0006,2019,B,68.4
E0000000291,S20180008,C0023,2019,S,93.3
E0000000292,S20180008,C0026,2019,B,77.6
E0000000293,S20180008,C0030,2019,D,62.0
E0000000294,S20180008,C0032,2019,B,68.9
E0000000295,S20180008,C0083,2019,B,95.8
E0000000296,S20180008,C0116,2019,A,83.4
E0000000297,S20180008,C0118,2019,B,84.3
E0000000298,S20180008,C0138,2019,D,49.0
E0000000299,S20180008,C0140,2019,D,45.5
E0000000300,S20180008,C0147,2019,C,86.2
E0000000301,S20180008,C0182,2019,A,98.0
E0000000302,S20180008,C0014,2020,C,74.4
E0000000303,S20180008,C0018,2020,C,72.6
E0000000304,S20180008,C0020,2020,D,63.8
E0000000305,S20180008,C0030,2020,A,92.9
E0000000306,S20180008,C0054,2020,D,56.2
E0000000307,S20180008,C0084,2020,C,76.5
E0000000308,S20180008,C0106,2020,S,97.9
E0000000309,S20180008,C0119,2020,S,92.6
E0000000310,S20180008,C0122,2020,C,64.7
E0000000311,S20180008,C0128,2020,S,94.8
E0000000312,S20180008,C0140,2020,C,70.8
E0000000313,S20180008,C0153,2020,B,73.4
E0000000314,S20180008,C0018,2021,C,74.5
E0000000315,S20180008,C0020,2021,A,86.7
E0000000316,S20180008,C0028,2021,C,62.1
E0000000317,S20180008,C0041,2021,D,43.6
E0000000318,S20180008,C0065,2021,B,85.0
E0000000319,S20180008,C0131,2021,A,92.0
E0000000320,S20180008,C0137,2021,A,91.6
E0000000321,S20180008,C0154,2021,B,68.6
E0000000322,S20180008,C0158,2021,C,72.1
E0000000323,S20180008,C0159,2021,C,57.5
E0000000324,S20180008,C0025,2022,A,89.0
E0000000325,S20180008,C0030,2022,B,98.4
E0000000326,S20180008,C0035,2022,A,87.3
E0000000327,S20180008,C0065,2022,S,92.4
E0000000328,S20180008,C0092,2022,D,71.1
E0000000329,S20180008,C0102,2022,C,71.7
E0000000330,S20180008,C0110,2022,D,79.1
E0000000331,S20180008,C0134,2022,B,73.5
E0000000332,S20180008,C0135,2022,C,67.5
E0000000333,S20180008,C0174,2022,C,71.6
E0000000334,S20180008,C0036,2023,B,75.9
E0000000335,S20180008,C0074,2023,B,81.8
E0000000336,S20180008,C0075,2023,D,64.8
E0000000337,S20180008,C0094,2023,D,72.9
E0000000338,S20180008,C0101,2023,C,89.1
E0000000339,S20180008,C0129,2023,B,90.8
E0000000340,S20180008,C0135,2023,B,78.1
E0000000341,S20180008,C0137,2023,B,68.2
E0000000342,S20180008,C0182,2023,S,91.0
E0000000343,S20180008,C0194,2023,S,92.7
E0000000344,S20180009,C0003,2018,D,52.5
E0000000345,S20180009,C0015,2018,B,70.8
E0000000346,S20180009,C0037,2018,A,89.7
E0000000347,S20180009,C0097,2018,C,79.4
E0000000348,S20180009,C0128,2018,C,68.5
E0000000349,S20180009,C0152,2018,F,34.3
E0000000350,S20180009,C0193,2018,C,66.2
E0000000351,S20180009,C0005,2019,F,31.7
E0000000352,S20180009,C0053,2019,B,83.6
E0000000353,S20180009,C0054,2019,C,71.9
E0000000354,S20180009,C0076,2019,C,69.4
E0000000355,S20180009,C0082,2019,A,82.2
E0000000356,S20180009,C0125,2019,B,83.2
E0000000357,S20180009,C0139,2019,C,81.7
E0000000358,S20180009,C0147,2019,D,73.4
E0000000359,S20180009,C0151,2019,F,34.3
E0000000360,S20180009,C0166,2019,C,55.4
E0000000361,S20180009,C0192,2019,A,93.7
E0000000362,S20180009,C0194,2019,A,98.7
E0000000363,S20180009,C0019,2020,B,81.2
E0000000364,S20180009,C0028,2020,A,80.6
E0000000365,S20180009,C0043,2020,C,74.8
E0000000366,S20180009,C0065,2020,S,93.0
E0000000367,S20180009,C0087,2020,D,66.5
E0000000368,S20180009,C0093,2020,B,88.7
E0000000369,S20180009,C0101,2020,S,99.7
E0000000370,S20180009,C0102,2020,B,72.8
E0000000371,S20180009,C0146,2020,S,93.6
E0000000372,S20180009,C0163,2020,S,94.0
E0000000373,S20180009,C0172,2020,D,79.7
E0000000374,S20180009,C0175,2020,F,49.5
E0000000375,S20180009,C0184,2020,B,74.2
E0000000376,S20180009,C0009,2021,C,77.1
E0000000377,S20180009,C0081,2021,S,91.7
E0000000378,S20180009,C0085,2021,C,67.4
E0000000379,S20180009,C0165,2021,B,67.3
E0000000380,S20180009,C0171,2021,S,91.3
E0000000381,S20180009,C0189,2021,S,94.9
E0000000382,S20180010,C0013,2018,W,17.8
E0000000383,S20180010,C0016,2018,B,70.4
E0000000384,S20180010,C0056,2018,A,89.7
E0000000385,S20180010,C0063,2018,C,75.0
E0000000386,S20180010,C0073,2018,C,55.9
E0000000387,S20180010,C0079,2018,B,81.6
E0000000388,S20180010,C0116,2018,B,86.2
E0000000389,S20180010,C0152,2018,F,43.6
E0000000390,S20180010,C0154,2018,A,96.6
E0000000391,S20180010,C0157,2018,B,70.1
E0000000392,S20180010,C0164,2018,C,67.9
E0000000393,S20180010,C0168,2018,B,75.9
E0000000394,S20180010,C0002,2019,S,97.8
E0000000395,S20180010,C0056,2019,B,75.7
E0000000396,S20180010,C0070,2019,D,57.6
E0000000397,S20180010,C0073,2019,D,67.2
E0000000398,S20180010,C0078,2019,A,96.0
E0000000399,S20180010,C0087,2019,D,61.2
E0000000400,S20180010,C0007,2020,C,70.8
E0000000401,S20180010,C0065,2020,A,89.3
E0000000402,S20180010,C0067,2020,B,62.7
E0000000403,S20180010,C0079,2020,D,77.4
E0000000404,S20180010,C0081,2020,B,70.2
E0000000405,S20180010,C0084,2020,S,93.9
E0000000406,S20180010,C0138,2020,S,90.0
E0000000407,S20180010,C0161,2020,S,97.5
E0000000408,S20180010,C0183,2020,C,66.6
E0000000409,S20180010,C0186,2020,B,78.2
E0000000410,S20180010,C0187,2020,C,52.7
E0000000411,S20180010,C0190,2020,A,96.8
E0000000412,S20180010,C0196,2020,W,13.9
E0000000413,S20180010,C0056,2021,B,64.6
E0000000414,S20180010,C0060,2021,B,82.0
E0000000415,S20180010,C0084,2021,C,78.7
E0000000416,S20180010,C0095,2021,F,35.8
E0000000417,S20180011,C0007,2018,C,71.8
E0000000418,S20180011,C0026,2018,A,80.3
E0000000419,S20180011,C0046,2018,D,49.1
E0000000420,S20180011,C0078,2018,B,65.9
E0000000421,S20180011,C0097,2018,B,89.8
E0000000422,S20180011,C0101,2018,S,97.5
E0000000423,S20180011,C0128,2018,D,54.4
E0000000424,S20180011,C0147,2018,D,56.5
E0000000425,S20180011,C0150,2018,A,83.5
E0000000426,S20180011,C0154,2018,F,37.7
E0000000427,S20180011,C0173,2018,A,91.5
E0000000428,S20180011,C0174,2018,C,66.7
E0000000429,S20180011,C0197,2018,A,88.3
E0000000430,S20180011,C0009,2019,S,96.7
E0000000431,S20180011,C0025,2019,D,69.5
E0000000432,S20180011,C0046,2019,B,74.4
E0000000433,S20180011,C0056,2019,B,77.3
E0000000434,S20180011,C0071,2019,S,98.8
E0000000435,S20180011,C0079,2019,S,90.9
E0000000436,S20180011,C0097,2019,B,88.1
E0000000437,S20180011,C0112,2019,C,84.1
E0000000438,S20180011,C0125,2019,C,61.2
E0000000439,S20180011,C0128,2019,B,88.0
E0000000440,S20180011,C0132,2019,C,64.9
E0000000441,S20180011,C0147,2019,A,97.6
E0000000442,S20180011,C0156,2019,C,56.9
E0000000443,S20180011,C0157,2019,B,65.2
E0000000444,S20180011,C0172,2019,D,42.9
E0000000445,S20180011,C0181,2019,B,79.2
E0000000446,S20180011,C0197,2019,C,77.4
E0000000447,S20180011,C0004,2020,F,43.6
E0000000448,S20180011,C0024,2020,D,75.4
E0000000449,S20180011,C0026,2020,D,45.1
E0000000450,S20180011,C0099,2020,W,20.0
E0000000451,S20180011,C0103,2020,C,64.7
E0000000452,S20180011,C0119,2020,A,90.6
E0000000453,S20180011,C0124,2020,B,88.5
E0000000454,S20180011,C0143,2020,C,87.3
E0000000455,S20180011,C0145,2020,S,94.9
E0000000456,S20180011,C0200,2020,S,90.2
E0000000457,S20180011,C0002,2021,D,51.3
E0000000458,S20180011,C0037,2021,D,48.9
E0000000459,S20180011,C0042,2021,S,95.0
E0000000460,S20180011,C0044,2021,B,83.5
E0000000461,S20180011,C0046,2021,C,74.5
E0000000462,S20180011,C0076,2021,F,42.0
E0000000463,S20180011,C0079,2021,C,57.8
E0000000464,S20180011,C0083,2021,C,71.9
E0000000465,S20180011,C0103,2021,D,44.4
E0000000466,S20180011,C0104,2021,S,94.0
E0000000467,S20180011,C0119,2021,A,84.8
E0000000468,S20180011,C0163,2021,B,71.1
E0000000469,S20180011,C0181,2021,B,80.5
E0000000470,S20180011,C0196,2021,A,82.5
E0000000471,S20180012,C0023,2018,C,71.9
E0000000472,S20180012,C0066,2018,C,84.9
E0000000473,S20180012,C0106,2018,A,90.9
E0000000474,S20180012,C0122,2018,B,62.6
E0000000475,S20180012,C0153,2018,B,89.6
E0000000476,S20180012,C0154,2018,B,76.5
E0000000477,S20180012,C0188,2018,C,61.8
E0000000478,S20180012,C0107,2019,B,87.0
E0000000479,S20180012,C0119,2019,F,48.1
E0000000480,S20180012,C0151,2019,D,71.7
E0000000481,S20180012,C0165,2019,D,72.9
E0000000482,S20180012,C0168,2019,B,82.7
E0000000483,S20180012,C0171,2019,B,74.2
E0000000484,S20180012,C0173,2019,W,29.1
E0000000485,S20180012,C0174,2019,S,99.2
E0000000486,S20180012,C0197,2019,D,44.5
E0000000487,S20180012,C0030,2020,F,47.6
E0000000488,S20180012,C0033,2020,S,91.9
E0000000489,S20180012,C0047,2020,C,75.1
E0000000490,S20180012,C0081,2020,C,61.5
E0000000491,S20180012,C0092,2020,B,79.4
E0000000492,S20180012,C0111,2020,C,60.3
E0000000493,S20180012,C0143,2020,D,55.1
E0000000494,S20180012,C0146,2020,D,51.0
E0000000495,S20180012,C0159,2020,S,99.9
E0000000496,S20180012,C0163,2020,F,49.8
E0000000497,S20180012,C0034,2021,C,51.8
E0000000498,S20180012,C0061,2021,D,73.7
E0000000499,S20180012,C0084,2021,D,76.4
E0000000500,S20180012,C0093,2021,C,87.3
E0000000501,S20180012,C0094,2021,B,82.5
E0000000502,S20180012,C0101,2021,S,95.5
E0000000503,S20180012,C0105,2021,C,70.4
E0000000504,S20180012,C0110,2021,F,10.7
E0000000505,S20180012,C0121,2021,B,75.3
E0000000506,S20180012,C0130,2021,B,91.0
E0000000507,S20180012,C0158,2021,B,63.0
E0000000508,S20180012,C0192,2021,B,76.9
E0000000509,S20180012,C0010,2022,C,89.3
E0000000510,S20180012,C0034,2022,B,80.7
E0000000511,S20180012,C0059,2022,W,25.9
E0000000512,S20180012,C0092,2022,A,89.7
E0000000513,S20180012,C0102,2022,A,94.1
E0000000514,S20180012,C0107,2022,A,84.9
E0000000515,S20180012,C0134,2022,B,75.7
E0000000516,S20180012,C0138,2022,C,65.4
E0000000517,S20180012,C0142,2022,S,96.2
E0000000518,S20180012,C0168,2022,C,79.0
E0000000519,S20180012,C0193,2022,F,36.0
E0000000520,S20180012,C0196,2022,B,69.8
E0000000521,S20180012,C0200,2022,D,66.1
E0000000522,S20180012,C0010,2023,C,62.3
E0000000523,S20180012,C0074,2023,S,97.8
E0000000524,S20180012,C0075,2023,C,75.3
E0000000525,S20180012,C0140,2023,D,78.3
E0000000526,S20180012,C0153,2023,C,72.5
E0000000527,S20180012,C0159,2023,S,90.5
E0000000528,S20180012,C0182,2023,A,83.4
E0000000529,S20180013,C0029,2018,B,73.4
E0000000530,S20180013,C0100,2018,B,75.9
E0000000531,S20180013,C0040,2019,D,62.4
E0000000532,S20180013,C0072,2019,A,81.2
E0000000533,S20180013,C0101,2019,S,94.9
E0000000534,S20180013,C0135,2019,A,81.8
E0000000535,S20180013,C0169,2019,C,73.0
E0000000536,S20180013,C0176,2019,A,88.7
E0000000537,S20180013,C0186,2019,B,75.0
E0000000538,S20180013,C0012,2020,B,89.3
E0000000539,S20180013,C0013,2020,D,73.3
E0000000540,S20180013,C0025,2020,B,61.1
E0000000541,S20180013,C0036,2020,B,89.7
E0000000542,S20180013,C0041,2020,W,16.3
E0000000543,S20180013,C0062,2020,F,41.1
E0000000544,S20180013,C0065,2020,S,96.1
E0000000545,S20180013,C0087,2020,D,54.2
E0000000546,S20180013,C0124,2020,A,92.8
E0000000547,S20180013,C0131,2020,F,45.1
E0000000548,S20180013,C0166,2020,C,81.7
E0000000549,S20180013,C0185,2020,B,80.4
E0000000550,S20180013,C0193,2020,B,71.7
E0000000551,S20180013,C0023,2021,S,91.9
E0000000552,S20180013,C0029,2021,W,16.0
E0000000553,S20180013,C0050,2021,F,38.7
E0000000554,S20180013,C0056,2021,B,91.5
E0000000555,S20180013,C0069,2021,B,85.3
E0000000556,S20180013,C0086,2021,B,87.8
E0000000557,S20180013,C0093,2021,S,95.9
E0000000558,S20180013,C0137,2021,D,45.6
E0000000559,S20180013,C0138,2021,A,80.5
E0000000560,S20180013,C0177,2021,A,80.3
E0000000561,S20180014,C0066,2018,C,77.1
E0000000562,S20180014,C0078,2018,B,62.7
E0000000563,S20180014,C0082,2018,F,42.8
E0000000564,S20180014,C0090,2018,C,55.2
E0000000565,S20180014,C0099,2018,B,61.3
E0000000566,S20180014,C0152,2018,B,74.2
E0000000567,S20180014,C0155,2018,B,62.2
E0000000568,S20180014,C0168,2018,B,68.3
E0000000569,S20180014,C0175,2018,A,99.1
E0000000570,S20180014,C0006,2019,C,63.0
E0000000571,S20180014,C0009,2019,C,64.2
E0000000572,S20180014,C0006,2020,D,78.2
E0000000573,S20180014,C0024,2020,A,82.0
E0000000574,S20180014,C0027,2020,A,80.0
E0000000575,S20180014,C0038,2020,W,7.6
E0000000576,S20180014,C0049,2020,C,81.1
E0000000577,S20180014,C0057,2020,A,92.4
E0000000578,S20180014,C0110,2020,D,56.3
E0000000579,S20180014,C0137,2020,D,52.3
E0000000580,S20180014,C0144,2020,C,76.3
